stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
886_05,,周匝上,,34.920624,134.095661,886_05,http://unobus.bustei.net/b.htm?T=0886,0,,
888_04,,落合,,34.923673,134.102605428571,888_04,http://unobus.bustei.net/b.htm?T=0888,0,,
888_05,,落合,,34.923734,134.102803,888_05,http://unobus.bustei.net/b.htm?T=0888,0,,
890_04,,高下,,34.926602,134.107669857143,890_04,http://unobus.bustei.net/b.htm?T=0890,0,,
890_05,,高下,,34.926537,134.107607,890_05,http://unobus.bustei.net/b.htm?T=0890,0,,
892_04,,奥,,34.927274,134.111501714286,892_04,http://unobus.bustei.net/b.htm?T=0892,0,,
892_05,,奥,,34.927207,134.111395,892_05,http://unobus.bustei.net/b.htm?T=0892,0,,
894_04,,奥上,,34.928141,134.112988,894_04,http://unobus.bustei.net/b.htm?T=0894,0,,
894_05,,奥上,,34.928167,134.113127,894_05,http://unobus.bustei.net/b.htm?T=0894,0,,
896_04,,天神,,34.9307706666667,134.118735666667,896_04,http://unobus.bustei.net/b.htm?T=0896,0,,
896_05,,天神,,34.930516,134.11835,896_05,http://unobus.bustei.net/b.htm?T=0896,0,,
898_04,,王子橋,,34.9328403333333,134.122198714286,898_04,http://unobus.bustei.net/b.htm?T=0898,0,,
898_05,,王子橋,,34.933088,134.122299,898_05,http://unobus.bustei.net/b.htm?T=0898,0,,
900_04,,福本下,,34.935433,134.122284,900_04,http://unobus.bustei.net/b.htm?T=0900,0,,
900_05,,福本下,,34.935996,134.12248,900_05,http://unobus.bustei.net/b.htm?T=0900,0,,
902_04,,福本,,34.938055,134.123150285714,902_04,http://unobus.bustei.net/b.htm?T=0902,0,,
902_05,,福本,,34.937721,134.123079,902_05,http://unobus.bustei.net/b.htm?T=0902,0,,
904_04,,小原,,34.9411,134.125336571429,904_04,http://unobus.bustei.net/b.htm?T=0904,0,,
904_05,,小原,,34.941144,134.125573,904_05,http://unobus.bustei.net/b.htm?T=0904,0,,
906_04,,椿谷,,34.943889,134.135396,906_04,http://unobus.bustei.net/b.htm?T=0906,0,,
906_05,,椿谷,,34.944122,134.135803,906_05,http://unobus.bustei.net/b.htm?T=0906,0,,
908_04,,尾谷,,34.948404,134.135928714286,908_04,http://unobus.bustei.net/b.htm?T=0908,0,,
908_05,,尾谷,,34.948239,134.135977,908_05,http://unobus.bustei.net/b.htm?T=0908,0,,
910_04,,尾原,,34.955148,134.132863,910_04,http://unobus.bustei.net/b.htm?T=0910,0,,
910_05,,尾原,,34.95513,134.133091,910_05,http://unobus.bustei.net/b.htm?T=0910,0,,
912_04,,尾原上,,34.957957,134.129384,912_04,http://unobus.bustei.net/b.htm?T=0912,0,,
912_05,,尾原上,,34.957788,134.129526,912_05,http://unobus.bustei.net/b.htm?T=0912,0,,
914_04,,樫村,,34.965589,134.134070285714,914_04,http://unobus.bustei.net/b.htm?T=0914,0,,
914_05,,樫村,,34.965638,134.134205142857,914_05,http://unobus.bustei.net/b.htm?T=0914,0,,
916_04,,下倉敷,,34.975411,134.126320857143,916_04,http://unobus.bustei.net/b.htm?T=0916,0,,
916_05,,下倉敷,,34.975581,134.125903,916_05,http://unobus.bustei.net/b.htm?T=0916,0,,
918_04,,畑沖下,,34.982932,134.127287,918_04,http://unobus.bustei.net/b.htm?T=0918,0,,
918_05,,畑沖下,,34.983565,134.127663,918_05,http://unobus.bustei.net/b.htm?T=0918,0,,
920_04,,畑沖,,34.98594,134.128566,920_04,http://unobus.bustei.net/b.htm?T=0920,0,,
920_05,,畑沖,,34.985991,134.128684,920_05,http://unobus.bustei.net/b.htm?T=0920,0,,
922_04,,鷺湯橋,,34.991199,134.133826,922_04,http://unobus.bustei.net/b.htm?T=0922,0,,
922_05,,鷺湯橋,,34.991144,134.133472,922_05,http://unobus.bustei.net/b.htm?T=0922,0,,
924_04,,湯郷温泉下,,34.991385,134.134943142857,924_04,http://unobus.bustei.net/b.htm?T=0924,0,,
924_05,,湯郷温泉下,,34.991244,134.134862,924_05,http://unobus.bustei.net/b.htm?T=0924,0,,
926_04,,湯郷温泉上,,34.993651,134.139602,926_04,http://unobus.bustei.net/b.htm?T=0926,0,,
926_05,,湯郷温泉上,,34.993439,134.139519,926_05,http://unobus.bustei.net/b.htm?T=0926,0,,
928_04,,美作第一小学校前,,34.997022,134.141632,928_04,http://unobus.bustei.net/b.htm?T=0928,0,,
928_05,,美作第一小学校前,,34.997219,134.141866,928_05,http://unobus.bustei.net/b.htm?T=0928,0,,
930_04,,林野バスセンター,,35.002824,134.143915571429,930_04,http://unobus.bustei.net/b.htm?T=0930,0,,
930_05,,林野バスセンター,,35.00271,134.143933,930_05,http://unobus.bustei.net/b.htm?T=0930,0,,
932_04,,本町,,35.002901,134.146109142857,932_04,http://unobus.bustei.net/b.htm?T=0932,0,,
932_05,,本町,,35.003716,134.146663714286,932_05,http://unobus.bustei.net/b.htm?T=0932,0,,
934_04,,栄町,,35.008578,134.149364285714,934_04,http://unobus.bustei.net/b.htm?T=0934,0,,
934_05,,栄町,,35.008564,134.149397428571,934_05,http://unobus.bustei.net/b.htm?T=0934,0,,
936_05,,林野駅前,,35.012687,134.150756142857,936_05,http://unobus.bustei.net/b.htm?T=0936,0,,
946_04,,新道立川口,,34.741975,134.015649,946_04,http://unobus.bustei.net/b.htm?T=0946,0,,
946_05,,新道立川口,,34.741382,134.015439,946_05,http://unobus.bustei.net/b.htm?T=0946,0,,
948_04,,新道河本西,,34.744925,134.016672428571,948_04,http://unobus.bustei.net/b.htm?T=0948,0,,
948_05,,新道河本西,,34.743999,134.016559,948_05,http://unobus.bustei.net/b.htm?T=0948,0,,
950_04,,新道河本,,34.74665,134.017172571429,950_04,http://unobus.bustei.net/b.htm?T=0950,0,,
950_05,,新道河本,,34.746135,134.01718,950_05,http://unobus.bustei.net/b.htm?T=0950,0,,
952_04,,新道山陽マルナカ前,,34.749265,134.01794,952_04,http://unobus.bustei.net/b.htm?T=0952,0,,
952_05,,新道山陽マルナカ前,,34.74855,134.017834857143,952_05,http://unobus.bustei.net/b.htm?T=0952,0,,
954_04,,新道赤磐市役所入口,,34.753525,134.021512,954_04,http://unobus.bustei.net/b.htm?T=0954,0,,
954_05,,新道赤磐市役所入口,,34.753392,134.021662,954_05,http://unobus.bustei.net/b.htm?T=0954,0,,
956_04,,新道高屋,,34.756636,134.024493,956_04,http://unobus.bustei.net/b.htm?T=0956,0,,
956_05,,新道高屋,,34.7557779999998,134.023844285714,956_05,http://unobus.bustei.net/b.htm?T=0956,0,,
958_04,,新道高屋上,,34.758147,134.025898142857,958_04,http://unobus.bustei.net/b.htm?T=0958,0,,
958_05,,新道高屋上,,34.757361,134.025330714286,958_05,http://unobus.bustei.net/b.htm?T=0958,0,,
960_04,,新道沼田,,34.760548,134.028184047619,960_04,http://unobus.bustei.net/b.htm?T=0960,0,,
960_05,,新道沼田,,34.759796,134.027683,960_05,http://unobus.bustei.net/b.htm?T=0960,0,,
962_04,,新道二井口,,34.7621683333333,134.030527428571,962_04,http://unobus.bustei.net/b.htm?T=0962,0,,
962_05,,新道二井口,,34.761847,134.030358,962_05,http://unobus.bustei.net/b.htm?T=0962,0,,
1576_04,,山陽団地中１番,,34.744283,134.005236428572,1576_04,http://unobus.bustei.net/b.htm?T=1576,0,,
1576_05,,山陽団地中１番,,34.744254,134.005408,1576_05,http://unobus.bustei.net/b.htm?T=1576,0,,
1578_04,,山陽団地郵便局前,,34.746126,134.005368,1578_04,http://unobus.bustei.net/b.htm?T=1578,0,,
1578_05,,山陽団地郵便局前,,34.745964,134.005478,1578_05,http://unobus.bustei.net/b.htm?T=1578,0,,
1580_04,,山陽団地中２番,,34.747626,134.005437,1580_04,http://unobus.bustei.net/b.htm?T=1580,0,,
1580_05,,山陽団地中２番,,34.747433,134.005533,1580_05,http://unobus.bustei.net/b.htm?T=1580,0,,
1582_04,,山陽西小学校前,,34.750197,134.005589,1582_04,http://unobus.bustei.net/b.htm?T=1582,0,,
1582_05,,山陽西小学校前,,34.749867,134.005664,1582_05,http://unobus.bustei.net/b.htm?T=1582,0,,
1584_04,,山陽団地中３番,,34.751822,134.005837,1584_04,http://unobus.bustei.net/b.htm?T=1584,0,,
1584_05,,山陽団地中３番,,34.751813,134.005985142857,1584_05,http://unobus.bustei.net/b.htm?T=1584,0,,
2086_01,,下市,,34.753548,134.017006142858,2086_01,http://unobus.bustei.net/b.htm?T=2086,0,,
2086_02,,下市,,34.754195,134.016481142857,2086_02,http://unobus.bustei.net/b.htm?T=2086,0,,
2086_04,,下市,,34.7541116666667,134.016376380952,2086_04,http://unobus.bustei.net/b.htm?T=2086,0,,
2086_05,,下市,,34.753623,134.017114714287,2086_05,http://unobus.bustei.net/b.htm?T=2086,0,,
9512_03,,県民局入口（東岡山）,,34.669691,133.926171428572,9512_03,http://unobus.bustei.net/b.htm?T=9512,0,,
9513_03,,岡電柳川（東岡山）,,34.666874,133.926141714286,9513_03,http://unobus.bustei.net/b.htm?T=9513,0,,
